condition,indicator,family,importance,direction,signed,alternatives
acoustic_insulation,gwp,environmental_impact,0.01713,-0.613,-0.01049,1027
acoustic_insulation,wdp,environmental_impact,0.00658,-0.511,-0.00336,1030
acoustic_insulation,fwu,environmental_impact,0.01104,-0.172,-0.0019,1026
acoustic_insulation,b,environmental_impact,0.00946,-0.568,-0.00537,1027
acoustic_insulation,circ_orig,circularity,0.03346,0.559,0.0187,1025
acoustic_insulation,fu_recyc,circularity,0.02078,0.436,0.00906,1035
acoustic_insulation,fu_incin,circularity,0.00317,-0.124,-0.00039,1028
acoustic_insulation,fu_inert,circularity,0.0085,-0.535,-0.00455,1027
acoustic_insulation,fu_haz,circularity,0.01035,-0.467,-0.00484,1029
acoustic_insulation,cost_product,cost,0.01487,-0.336,-0.00499,1025
acoustic_insulation,cost_labour,cost,0.00981,-0.229,-0.00225,1030
acoustic_insulation,cost_maintenance,cost,0.00983,-0.165,-0.00162,1031
acoustic_insulation,health,health_safety,0.3955,0.758,0.29962,1038
acoustic_insulation,compressive_strength,performance,0.02173,0.59,0.01282,1022
acoustic_insulation,water_to_cement_ratio,performance,0.00879,-0.662,-0.00582,1031
acoustic_insulation,cement_content,performance,0.00675,-0.321,-0.00217,1032
acoustic_insulation,scm_content,performance,0.01298,0.45,0.00584,1024
acoustic_insulation,slump,performance,0.01761,0.354,0.00623,1034
acoustic_insulation,density,performance,0.05489,0.471,0.02585,1025
acoustic_insulation,d_max,performance,0.00576,-0.298,-0.00172,1030
architectural_finish,gwp,environmental_impact,0.0169,-0.68,-0.0115,1027
architectural_finish,wdp,environmental_impact,0.00549,-0.579,-0.00318,1030
architectural_finish,fwu,environmental_impact,0.0079,-0.153,-0.00121,1026
architectural_finish,b,environmental_impact,0.01,-0.593,-0.00593,1027
architectural_finish,circ_orig,circularity,0.0309,0.402,0.01243,1025
architectural_finish,fu_recyc,circularity,0.02893,0.465,0.01344,1035
architectural_finish,fu_incin,circularity,0.00356,-0.159,-0.00057,1028
architectural_finish,fu_inert,circularity,0.00689,-0.609,-0.00419,1027
architectural_finish,fu_haz,circularity,0.01047,-0.452,-0.00473,1029
architectural_finish,cost_product,cost,0.01585,-0.397,-0.00629,1025
architectural_finish,cost_labour,cost,0.00974,-0.242,-0.00235,1030
architectural_finish,cost_maintenance,cost,0.00975,-0.253,-0.00247,1031
architectural_finish,health,health_safety,0.37757,0.762,0.28766,1038
architectural_finish,compressive_strength,performance,0.02151,0.549,0.01181,1022
architectural_finish,water_to_cement_ratio,performance,0.00909,-0.677,-0.00616,1031
architectural_finish,cement_content,performance,0.00913,-0.217,-0.00198,1032
architectural_finish,scm_content,performance,0.01202,0.428,0.00515,1024
architectural_finish,slump,performance,0.02598,0.222,0.00577,1034
architectural_finish,density,performance,0.00974,-0.012,-0.00012,1025
architectural_finish,d_max,performance,0.02656,-0.738,-0.01962,1030
standard_structural,gwp,environmental_impact,0.01909,-0.682,-0.01302,1027
standard_structural,wdp,environmental_impact,0.00624,-0.602,-0.00375,1030
standard_structural,fwu,environmental_impact,0.0086,-0.214,-0.00184,1026
standard_structural,b,environmental_impact,0.00975,-0.622,-0.00606,1027
standard_structural,circ_orig,circularity,0.0425,0.539,0.02292,1025
standard_structural,fu_recyc,circularity,0.02815,0.469,0.01321,1035
standard_structural,fu_incin,circularity,0.00312,-0.196,-0.00061,1028
standard_structural,fu_inert,circularity,0.00844,-0.571,-0.00482,1027
standard_structural,fu_haz,circularity,0.01191,-0.478,-0.00569,1029
standard_structural,cost_product,cost,0.02021,-0.449,-0.00908,1025
standard_structural,cost_labour,cost,0.00908,-0.255,-0.00231,1030
standard_structural,cost_maintenance,cost,0.00924,-0.231,-0.00214,1031
standard_structural,health,health_safety,0.39083,0.755,0.29492,1038
standard_structural,compressive_strength,performance,0.02441,0.588,0.01436,1022
standard_structural,water_to_cement_ratio,performance,0.00892,-0.718,-0.0064,1031
standard_structural,cement_content,performance,0.00779,-0.524,-0.00408,1032
standard_structural,scm_content,performance,0.01101,0.414,0.00456,1024
standard_structural,slump,performance,0.01487,0.242,0.0036,1034
standard_structural,density,performance,0.00808,-0.036,-0.00029,1025
standard_structural,d_max,performance,0.00606,-0.439,-0.00266,1030
thermal_insulation,gwp,environmental_impact,0.01402,-0.685,-0.0096,1027
thermal_insulation,wdp,environmental_impact,0.00606,-0.629,-0.00381,1030
thermal_insulation,fwu,environmental_impact,0.00963,-0.305,-0.00293,1026
thermal_insulation,b,environmental_impact,0.00757,-0.598,-0.00453,1027
thermal_insulation,circ_orig,circularity,0.03262,0.573,0.0187,1025
thermal_insulation,fu_recyc,circularity,0.02099,0.431,0.00905,1035
thermal_insulation,fu_incin,circularity,0.00293,-0.257,-0.00075,1028
thermal_insulation,fu_inert,circularity,0.00584,-0.514,-0.003,1027
thermal_insulation,fu_haz,circularity,0.00789,-0.457,-0.00361,1029
thermal_insulation,cost_product,cost,0.01239,-0.456,-0.00565,1025
thermal_insulation,cost_labour,cost,0.00796,-0.351,-0.00279,1030
thermal_insulation,cost_maintenance,cost,0.00773,-0.314,-0.00242,1031
thermal_insulation,health,health_safety,0.35714,0.732,0.26145,1038
thermal_insulation,compressive_strength,performance,0.01225,0.237,0.0029,1022
