condition,indicator,family,importance,direction,signed,alternatives
balanced_optimizer,gwp,environmental_impact,0.02211,-0.766,-0.01694,1027
balanced_optimizer,wdp,environmental_impact,0.0066,-0.634,-0.00419,1030
balanced_optimizer,fwu,environmental_impact,0.00507,-0.489,-0.00248,1026
balanced_optimizer,b,environmental_impact,0.01101,-0.677,-0.00745,1027
balanced_optimizer,circ_orig,circularity,0.02148,0.672,0.01443,1025
balanced_optimizer,fu_recyc,circularity,0.0175,0.58,0.01016,1035
balanced_optimizer,fu_incin,circularity,0.00304,-0.214,-0.00065,1028
balanced_optimizer,fu_inert,circularity,0.00747,-0.751,-0.00561,1027
balanced_optimizer,fu_haz,circularity,0.00904,-0.464,-0.00419,1029
balanced_optimizer,cost_product,cost,0.01459,-0.582,-0.00848,1025
balanced_optimizer,cost_labour,cost,0.01029,-0.337,-0.00347,1030
balanced_optimizer,cost_maintenance,cost,0.00984,-0.299,-0.00294,1031
balanced_optimizer,health,health_safety,0.3462,0.792,0.27414,1038
balanced_optimizer,compressive_strength,performance,0.02011,0.693,0.01395,1022
balanced_optimizer,water_to_cement_ratio,performance,0.01083,-0.728,-0.00788,1031
balanced_optimizer,cement_content,performance,0.00902,-0.602,-0.00543,1032
balanced_optimizer,scm_content,performance,0.00941,0.62,0.00584,1024
balanced_optimizer,slump,performance,0.01434,0.313,0.00449,1034
balanced_optimizer,density,performance,0.02315,-0.079,-0.00184,1025
balanced_optimizer,d_max,performance,0.01134,-0.593,-0.00673,1030
circular_economy_advocate,gwp,environmental_impact,0.01367,-0.707,-0.00966,1027
circular_economy_advocate,wdp,environmental_impact,0.00638,-0.605,-0.00386,1030
circular_economy_advocate,fwu,environmental_impact,0.00618,-0.406,-0.00251,1026
circular_economy_advocate,b,environmental_impact,0.00632,-0.589,-0.00372,1027
circular_economy_advocate,circ_orig,circularity,0.11564,0.796,0.09204,1025
circular_economy_advocate,fu_recyc,circularity,0.05106,0.746,0.03811,1035
circular_economy_advocate,fu_incin,circularity,0.00372,-0.283,-0.00105,1028
circular_economy_advocate,fu_inert,circularity,0.02041,-0.7,-0.01428,1027
circular_economy_advocate,fu_haz,circularity,0.00964,-0.45,-0.00434,1029
circular_economy_advocate,cost_product,cost,0.00851,-0.411,-0.0035,1025
circular_economy_advocate,cost_labour,cost,0.00659,-0.154,-0.00102,1030
circular_economy_advocate,cost_maintenance,cost,0.00675,-0.185,-0.00125,1031
circular_economy_advocate,health,health_safety,0.26496,0.639,0.1693,1038
circular_economy_advocate,compressive_strength,performance,0.01257,0.592,0.00744,1022
circular_economy_advocate,water_to_cement_ratio,performance,0.00664,-0.665,-0.00442,1031
circular_economy_advocate,cement_content,performance,0.00649,-0.562,-0.00365,1032
circular_economy_advocate,scm_content,performance,0.01325,0.696,0.00922,1024
circular_economy_advocate,slump,performance,0.01291,0.295,0.00381,1034
circular_economy_advocate,density,performance,0.019,-0.157,-0.00299,1025
circular_economy_advocate,d_max,performance,0.00791,-0.448,-0.00355,1030
cost_conscious_developer,gwp,environmental_impact,0.01217,-0.687,-0.00836,1027
cost_conscious_developer,wdp,environmental_impact,0.00512,-0.469,-0.0024,1030
cost_conscious_developer,fwu,environmental_impact,0.00564,-0.283,-0.00159,1026
cost_conscious_developer,b,environmental_impact,0.00729,-0.522,-0.00381,1027
cost_conscious_developer,circ_orig,circularity,0.01473,0.165,0.00244,1025
cost_conscious_developer,fu_recyc,circularity,0.0155,0.382,0.00592,1035
cost_conscious_developer,fu_incin,circularity,0.00273,-0.162,-0.00044,1028
cost_conscious_developer,fu_inert,circularity,0.00576,-0.524,-0.00302,1027
cost_conscious_developer,fu_haz,circularity,0.00671,-0.443,-0.00297,1029
cost_conscious_developer,cost_product,cost,0.09559,-0.653,-0.06242,1025
cost_conscious_developer,cost_labour,cost,0.04105,-0.323,-0.01328,1030
cost_conscious_developer,cost_maintenance,cost,0.03845,-0.283,-0.01087,1031
cost_conscious_developer,health,health_safety,0.27168,0.659,0.17895,1038
cost_conscious_developer,compressive_strength,performance,0.02492,0.531,0.01324,1022
cost_conscious_developer,water_to_cement_ratio,performance,0.01011,-0.529,-0.00534,1031
cost_conscious_developer,cement_content,performance,0.01199,-0.379,-0.00454,1032
cost_conscious_developer,scm_content,performance,0.01156,0.252,0.00291,1024
cost_conscious_developer,slump,performance,0.01982,0.199,0.00394,1034
cost_conscious_developer,density,performance,0.03325,-0.028,-0.00092,1025
cost_conscious_developer,d_max,performance,0.01002,-0.397,-0.00398,1030
health_safety_focused,gwp,environmental_impact,0.00886,-0.698,-0.00618,1027
health_safety_focused,wdp,environmental_impact,0.0069,-0.549,-0.00379,1030
health_safety_focused,fwu,environmental_impact,0.00753,-0.191,-0.00144,1026
health_safety_focused,b,environmental_impact,0.00574,-0.576,-0.0033,1027
health_safety_focused,circ_orig,circularity,0.01143,0.466,0.00533,1025
health_safety_focused,fu_recyc,circularity,0.01004,0.42,0.00422,1035
health_safety_focused,fu_incin,circularity,0.00254,-0.222,-0.00056,1028
health_safety_focused,fu_inert,circularity,0.00435,-0.654,-0.00285,1027
health_safety_focused,fu_haz,circularity,0.00743,-0.458,-0.0034,1029
health_safety_focused,cost_product,cost,0.00619,-0.221,-0.00137,1025
health_safety_focused,cost_labour,cost,0.00533,-0.118,-0.00063,1030
health_safety_focused,cost_maintenance,cost,0.00542,-0.127,-0.00069,1031
health_safety_focused,health,health_safety,0.46486,0.922,0.42856,1038
health_safety_focused,compressive_strength,performance,0.01105,0.574,0.00635,1022
health_safety_focused,water_to_cement_ratio,performance,0.00675,-0.637,-0.0043,1031
health_safety_focused,cement_content,performance,0.00523,-0.258,-0.00135,1032
health_safety_focused,scm_content,performance,0.00525,0.342,0.00179,1024
health_safety_focused,slump,performance,0.00814,0.14,0.00114,1034
health_safety_focused,density,performance,0.01847,-0.078,-0.00144,1025
health_safety_focused,d_max,performance,0.00518,-0.613,-0.00317,1030
occupant_comfort_focused,gwp,environmental_impact,0.01138,-0.705,-0.00802,1027
occupant_comfort_focused,wdp,environmental_impact,0.00588,-0.573,-0.00337,1030
occupant_comfort_focused,fwu,environmental_impact,0.00766,-0.281,-0.00215,1026
occupant_comfort_focused,b,environmental_impact,0.00686,-0.585,-0.00402,1027
occupant_comfort_focused,circ_orig,circularity,0.01298,0.419,0.00544,1025
occupant_comfort_focused,fu_recyc,circularity,0.01199,0.469,0.00563,1035
occupant_comfort_focused,fu_incin,circularity,0.00311,-0.195,-0.00061,1028
occupant_comfort_focused,fu_inert,circularity,0.00531,-0.684,-0.00363,1027
occupant_comfort_focused,fu_haz,circularity,0.0087,-0.462,-0.00402,1029
occupant_comfort_focused,cost_product,cost,0.00877,-0.271,-0.00238,1025
occupant_comfort_focused,cost_labour,cost,0.00758,-0.14,-0.00106,1030
occupant_comfort_focused,cost_maintenance,cost,0.00723,-0.12,-0.00086,1031
occupant_comfort_focused,health,health_safety,0.40015,0.866,0.34661,1038
occupant_comfort_focused,compressive_strength,performance,0.01771,0.613,0.01086,1022
occupant_comfort_focused,water_to_cement_ratio,performance,0.01012,-0.651,-0.00658,1031
occupant_comfort_focused,cement_content,performance,0.01076,-0.332,-0.00357,1032
occupant_comfort_focused,scm_content,performance,0.00813,0.428,0.00348,1024
occupant_comfort_focused,slump,performance,0.01391,0.38,0.00529,1034
occupant_comfort_focused,density,performance,0.03773,-0.056,-0.00212,1025
occupant_comfort_focused,d_max,performance,0.0086,-0.578,-0.00497,1030
pragmatic_contractor,gwp,environmental_impact,0.01228,-0.691,-0.00848,1027
pragmatic_contractor,wdp,environmental_impact,0.00542,-0.583,-0.00316,1030
pragmatic_contractor,fwu,environmental_impact,0.00652,-0.364,-0.00237,1026
pragmatic_contractor,b,environmental_impact,0.00722,-0.599,-0.00432,1027
pragmatic_contractor,circ_orig,circularity,0.01751,0.503,0.0088,1025
pragmatic_contractor,fu_recyc,circularity,0.01704,0.578,0.00985,1035
pragmatic_contractor,fu_incin,circularity,0.00316,-0.18,-0.00057,1028
pragmatic_contractor,fu_inert,circularity,0.00761,-0.691,-0.00526,1027
pragmatic_contractor,fu_haz,circularity,0.00985,-0.459,-0.00452,1029
pragmatic_contractor,cost_product,cost,0.02137,-0.558,-0.01194,1025
pragmatic_contractor,cost_labour,cost,0.01596,-0.286,-0.00457,1030
pragmatic_contractor,cost_maintenance,cost,0.0142,-0.239,-0.00339,1031
pragmatic_contractor,health,health_safety,0.31869,0.749,0.23873,1038
pragmatic_contractor,compressive_strength,performance,0.0298,0.637,0.01899,1022
pragmatic_contractor,water_to_cement_ratio,performance,0.0135,-0.688,-0.00929,1031
pragmatic_contractor,cement_content,performance,0.01534,-0.482,-0.00739,1032
