group,condition,family,share
By context,acoustic_insulation,environmental_impact,0.1559
By context,acoustic_insulation,circularity,0.269
By context,acoustic_insulation,cost,0.1217
By context,acoustic_insulation,performance,0.4533
By context,architectural_finish,environmental_impact,0.149
By context,architectural_finish,circularity,0.2986
By context,architectural_finish,cost,0.1307
By context,architectural_finish,performance,0.4217
By context,standard_structural,environmental_impact,0.1697
By context,standard_structural,circularity,0.3656
By context,standard_structural,cost,0.1497
By context,standard_structural,performance,0.3151
By context,thermal_insulation,environmental_impact,0.1377
By context,thermal_insulation,circularity,0.2595
By context,thermal_insulation,cost,0.1037
By context,thermal_insulation,performance,0.4992
By stakeholder,balanced_optimizer,environmental_impact,0.192
By stakeholder,balanced_optimizer,circularity,0.2726
By stakeholder,balanced_optimizer,cost,0.1168
By stakeholder,balanced_optimizer,performance,0.4185
By stakeholder,circular_economy_advocate,environmental_impact,0.0992
By stakeholder,circular_economy_advocate,circularity,0.622
By stakeholder,circular_economy_advocate,cost,0.0445
By stakeholder,circular_economy_advocate,performance,0.2342
By stakeholder,cost_conscious_developer,environmental_impact,0.0998
By stakeholder,cost_conscious_developer,circularity,0.1538
By stakeholder,cost_conscious_developer,cost,0.3906
By stakeholder,cost_conscious_developer,performance,0.3558
By stakeholder,health_safety_focused,environmental_impact,0.1712
By stakeholder,health_safety_focused,circularity,0.3278
By stakeholder,health_safety_focused,cost,0.1065
By stakeholder,health_safety_focused,performance,0.3944
By stakeholder,occupant_comfort_focused,environmental_impact,0.1498
By stakeholder,occupant_comfort_focused,circularity,0.2502
By stakeholder,occupant_comfort_focused,cost,0.1102
By stakeholder,occupant_comfort_focused,performance,0.4898
By stakeholder,pragmatic_contractor,environmental_impact,0.1314
By stakeholder,pragmatic_contractor,circularity,0.222
By stakeholder,pragmatic_contractor,cost,0.1451
By stakeholder,pragmatic_contractor,performance,0.5015
By stakeholder,regulatory_aligned_builder,environmental_impact,0.1886
By stakeholder,regulatory_aligned_builder,circularity,0.2609
By stakeholder,regulatory_aligned_builder,cost,0.1086
By stakeholder,regulatory_aligned_builder,performance,0.4419
By stakeholder,sustainability_maximalist,environmental_impact,0.2166
By stakeholder,sustainability_maximalist,circularity,0.4188
By stakeholder,sustainability_maximalist,cost,0.0568
By stakeholder,sustainability_maximalist,performance,0.3077
