indicator,withholding,shap
health,0.62237,0.0889
compressive_strength,-0.04222,-0.05671
fu_haz,-0.03285,-0.0397
d_max,-0.00467,-0.01332
b,0.02534,0.01153
circ_orig,0.04087,0.00606
cement_content,-0.00191,-0.00466
gwp,0.01959,-0.00406
wdp,0.00963,0.00353
scm_content,0.00933,-0.00293
fwu,0.00679,0.0
fu_recyc,0.03119,0.0
fu_incin,0.00324,0.0
fu_inert,0.00664,0.0
cost_product,0.01681,0.0
cost_labour,0.01234,0.0
cost_maintenance,0.01197,0.0
water_to_cement_ratio,0.00115,0.0
slump,0.02318,0.0
density,0.01176,0.0
health,0.06452,-0.25762
compressive_strength,0.00464,-0.02489
slump,-0.01029,-0.02483
cost_product,-0.00628,-0.01931
circ_orig,0.00146,-0.01308
wdp,-0.00736,-0.01144
scm_content,0.00345,-0.00859
d_max,-0.0055,-0.0084
cement_content,0.00063,-0.00536
fwu,-0.00328,-0.00284
gwp,0.01122,0.0
b,0.00022,0.0
fu_recyc,0.01461,0.0
fu_incin,0.0015,0.0
fu_inert,0.00413,0.0
fu_haz,0.01165,0.0
cost_labour,0.00014,0.0
cost_maintenance,-0.00394,0.0
water_to_cement_ratio,-0.0007,0.0
density,0.01693,0.0
health,-0.08642,-0.70006
compressive_strength,0.00147,-0.00522
cost_product,-0.00114,-0.00478
fu_inert,-8e-05,-0.00391
wdp,-0.00092,-0.00324
cost_maintenance,-0.00075,-0.00203
cost_labour,2e-05,-0.00168
water_to_cement_ratio,-0.00028,-0.001
fu_recyc,0.00217,-0.00093
gwp,0.00218,-0.00081
fwu,0.00105,0.0
b,0.00239,0.0
circ_orig,0.00258,0.0
fu_incin,0.0001,0.0
fu_haz,0.00029,0.0
cement_content,0.00139,0.0
scm_content,0.00109,0.0
slump,0.00108,0.0
density,0.00046,0.0
d_max,0.00139,0.0
health,-0.07754,-0.6762
d_max,0.00431,0.00727
gwp,-0.00167,-0.00687
b,-0.0,-0.00522
compressive_strength,0.00364,-0.00393
fwu,0.00047,-0.0029
fu_haz,0.00173,0.00185
circ_orig,0.00737,0.001
fu_recyc,0.00757,0.00079
water_to_cement_ratio,0.00033,-0.00075
wdp,0.00209,0.0
fu_incin,0.00054,0.0
fu_inert,0.00045,0.0
cost_product,0.00255,0.0
cost_labour,0.00221,0.0
cost_maintenance,0.00245,0.0
cement_content,0.00368,0.0
scm_content,0.00262,0.0
slump,0.00535,0.0
density,0.00129,0.0
health,0.528,0.12782
gwp,0.02537,0.05841
compressive_strength,-0.05096,-0.0287
circ_orig,-0.02572,-0.02748
b,-0.05433,-0.01333
scm_content,0.00688,0.01295
cost_product,0.01231,0.01098
fu_recyc,-0.01844,-0.00808
cement_content,-0.00473,-0.00772
water_to_cement_ratio,0.01228,0.00667
wdp,0.01112,0.0
fwu,0.00096,0.0
fu_incin,0.00086,0.0
fu_inert,-0.011,0.0
fu_haz,0.00963,0.0
cost_labour,0.00624,0.0
cost_maintenance,-0.00244,0.0
slump,-0.02462,0.0
density,-0.00204,0.0
d_max,-0.01339,0.0
health,0.52621,0.08518
gwp,-0.03769,-0.02933
b,-0.02042,-0.01829
circ_orig,0.05892,0.01089
d_max,0.00107,-0.00933
scm_content,0.0268,0.00845
cost_product,-0.00389,-0.0084
compressive_strength,0.02766,0.00836
wdp,-0.00698,-0.00755
water_to_cement_ratio,-0.00996,-0.00497
fwu,-0.00624,0.0
fu_recyc,0.03218,0.0
fu_incin,0.00169,0.0
fu_inert,-0.013,0.0
fu_haz,-0.00128,0.0
cost_labour,0.00194,0.0
cost_maintenance,0.00556,0.0
cement_content,-0.01134,0.0
slump,0.02886,0.0
density,0.00731,0.0
health,0.03117,-0.56263
circ_orig,0.01116,-0.01053
cost_product,-0.01683,-0.00834
b,-0.00077,0.00723
wdp,-0.00561,0.00467
gwp,-0.01133,0.00416
water_to_cement_ratio,-0.00495,0.00267
fu_haz,0.00169,0.00227
d_max,-0.00699,-0.00146
fwu,-0.00897,0.00103
fu_recyc,0.01084,0.0
fu_incin,0.0001,0.0
fu_inert,-0.00332,0.0
cost_labour,-0.00775,0.0
cost_maintenance,-0.01175,0.0
compressive_strength,-0.00164,0.0
cement_content,-0.00689,0.0
scm_content,0.00022,0.0
slump,-0.00635,0.0
density,-0.00533,0.0
health,0.03304,-0.49284
compressive_strength,-0.01857,-0.02629
cost_product,-0.00099,-0.01097
gwp,0.00195,0.01046
fu_haz,0.00782,0.00573
circ_orig,0.00118,0.0056
fu_recyc,-0.00055,0.00428
cement_content,0.00078,0.00424
wdp,-0.00621,-0.00412
d_max,-0.0008,0.00276
fwu,-0.00318,0.0
b,-0.00857,0.0
fu_incin,0.00103,0.0
fu_inert,-0.00148,0.0
cost_labour,-0.00052,0.0
cost_maintenance,-0.00125,0.0
water_to_cement_ratio,-0.00211,0.0
scm_content,0.00144,0.0
slump,-0.00221,0.0
density,-0.00263,0.0
compressive_strength,-0.12331,-0.13206
health,0.43828,0.06571
circ_orig,0.00759,-0.03442
cost_product,0.03663,0.01955
wdp,-0.00433,-0.00965
fu_haz,0.03329,0.00757
d_max,0.005,0.00707
water_to_cement_ratio,-0.00322,-0.00511
cost_maintenance,0.01739,-0.0039
slump,0.01038,-0.00349
gwp,0.02018,0.0
fwu,0.01306,0.0
b,-0.00127,0.0
fu_recyc,0.01985,0.0
fu_incin,0.00359,0.0
fu_inert,0.01696,0.0
cost_labour,0.0232,0.0
cement_content,0.01205,0.0
scm_content,-0.01135,0.0
density,0.00979,0.0
health,0.64737,0.13648
gwp,0.02583,0.03721
water_to_cement_ratio,-0.00715,-0.01165
wdp,-0.00342,-0.00951
fu_inert,-0.00054,-0.00828
cost_product,0.01169,0.00602
cost_labour,-0.00209,-0.00453
fu_haz,0.00692,0.00371
b,-0.01102,0.00343
compressive_strength,0.03566,0.00276
fwu,0.00931,0.0
circ_orig,0.0283,0.0
fu_recyc,0.03379,0.0
fu_incin,0.0022,0.0
cost_maintenance,0.00919,0.0
cement_content,0.00815,0.0
scm_content,0.00886,0.0
slump,0.01593,0.0
density,0.01096,0.0
d_max,0.00969,0.0
health,-0.13835,-0.5618
gwp,0.0148,0.02902
compressive_strength,-0.00263,-0.01787
circ_orig,-0.00099,-0.01533
slump,-0.00228,-0.00992
