condition,indicator,family,importance,direction,signed,alternatives
acoustic_insulation,gwp,environmental_impact,0.05119,-0.635,-0.0325,1062
acoustic_insulation,wdp,environmental_impact,0.0054,-0.237,-0.00128,737
acoustic_insulation,fwu,environmental_impact,0.00675,-0.402,-0.00272,790
acoustic_insulation,circ_orig,circularity,0.01424,0.113,0.00161,1013
acoustic_insulation,fu_recyc,circularity,0.03531,0.508,0.01793,1019
acoustic_insulation,fu_incin,circularity,0.00504,-0.373,-0.00188,1072
acoustic_insulation,fu_inert,circularity,0.01146,-0.66,-0.00757,1012
acoustic_insulation,fu_haz,circularity,0.0163,-0.386,-0.00629,1075
acoustic_insulation,cost_product,cost,0.03239,-0.545,-0.01765,1077
acoustic_insulation,cost_labour,cost,0.02295,-0.481,-0.01105,1077
acoustic_insulation,cost_maintenance,cost,0.019,-0.277,-0.00526,1077
acoustic_insulation,health,health_safety,0.0824,0.743,0.06122,1077
acoustic_insulation,u_value,performance,0.02292,-0.688,-0.01577,1077
acoustic_insulation,acoustic_reduction,performance,0.11094,0.75,0.0832,1077
acoustic_insulation,surface_mass,performance,0.0075,0.296,0.00222,1077
acoustic_insulation,heat_capacity,performance,0.01159,0.332,0.00385,1077
acoustic_insulation,fire_reaction,health_safety,0.04526,0.629,0.02845,1077
acoustic_insulation,thickness,performance,0.00402,-0.109,-0.00044,1077
high_rise,gwp,environmental_impact,0.05094,-0.667,-0.03398,1062
high_rise,wdp,environmental_impact,0.00403,-0.386,-0.00155,737
high_rise,fwu,environmental_impact,0.00564,-0.537,-0.00303,790
high_rise,circ_orig,circularity,0.01581,0.154,0.00244,1013
high_rise,fu_recyc,circularity,0.03276,0.497,0.01629,1019
high_rise,fu_incin,circularity,0.0048,-0.385,-0.00185,1072
high_rise,fu_inert,circularity,0.01103,-0.667,-0.00736,1012
high_rise,fu_haz,circularity,0.01712,-0.419,-0.00717,1075
high_rise,cost_product,cost,0.02654,-0.529,-0.01404,1077
high_rise,cost_labour,cost,0.01865,-0.443,-0.00827,1077
high_rise,cost_maintenance,cost,0.01503,-0.291,-0.00437,1077
high_rise,health,health_safety,0.07821,0.72,0.05629,1077
high_rise,u_value,performance,0.03003,-0.7,-0.02101,1077
high_rise,acoustic_reduction,performance,0.02513,0.555,0.01393,1077
high_rise,surface_mass,performance,0.00856,-0.591,-0.00505,1077
high_rise,heat_capacity,performance,0.00953,0.359,0.00342,1077
high_rise,fire_reaction,health_safety,0.16094,0.651,0.10474,1077
high_rise,thickness,performance,0.00291,-0.147,-0.00043,1077
hot_summer,gwp,environmental_impact,0.05064,-0.636,-0.03223,1062
hot_summer,wdp,environmental_impact,0.0053,-0.396,-0.0021,737
hot_summer,fwu,environmental_impact,0.00577,-0.515,-0.00298,790
hot_summer,circ_orig,circularity,0.01501,0.151,0.00226,1013
hot_summer,fu_recyc,circularity,0.03504,0.538,0.01885,1019
hot_summer,fu_incin,circularity,0.00537,-0.315,-0.00169,1072
hot_summer,fu_inert,circularity,0.01388,-0.666,-0.00924,1012
hot_summer,fu_haz,circularity,0.01606,-0.405,-0.0065,1075
hot_summer,cost_product,cost,0.03359,-0.515,-0.01729,1077
hot_summer,cost_labour,cost,0.02583,-0.458,-0.01184,1077
hot_summer,cost_maintenance,cost,0.02057,-0.272,-0.0056,1077
hot_summer,health,health_safety,0.0829,0.763,0.06322,1077
hot_summer,u_value,performance,0.03471,-0.735,-0.02551,1077
hot_summer,acoustic_reduction,performance,0.024,0.596,0.01431,1077
hot_summer,surface_mass,performance,0.00614,0.307,0.00189,1077
hot_summer,heat_capacity,performance,0.07177,0.714,0.05124,1077
hot_summer,fire_reaction,health_safety,0.0451,0.622,0.02806,1077
hot_summer,thickness,performance,0.00395,-0.265,-0.00105,1077
new_build_mild,gwp,environmental_impact,0.06523,-0.682,-0.04451,1062
new_build_mild,wdp,environmental_impact,0.00674,-0.49,-0.0033,737
new_build_mild,fwu,environmental_impact,0.00843,-0.579,-0.00488,790
new_build_mild,circ_orig,circularity,0.01687,0.165,0.00279,1013
new_build_mild,fu_recyc,circularity,0.03546,0.522,0.01851,1019
new_build_mild,fu_incin,circularity,0.00654,-0.296,-0.00193,1072
new_build_mild,fu_inert,circularity,0.01819,-0.684,-0.01244,1012
new_build_mild,fu_haz,circularity,0.01978,-0.43,-0.00851,1075
new_build_mild,cost_product,cost,0.03642,-0.522,-0.019,1077
new_build_mild,cost_labour,cost,0.02914,-0.426,-0.0124,1077
new_build_mild,cost_maintenance,cost,0.02335,-0.27,-0.0063,1077
new_build_mild,health,health_safety,0.08805,0.737,0.0649,1077
new_build_mild,u_value,performance,0.0478,-0.735,-0.03512,1077
new_build_mild,acoustic_reduction,performance,0.03579,0.485,0.01737,1077
new_build_mild,surface_mass,performance,0.00634,0.06,0.00038,1077
new_build_mild,heat_capacity,performance,0.00955,0.047,0.00045,1077
new_build_mild,fire_reaction,health_safety,0.05309,0.578,0.0307,1077
new_build_mild,thickness,performance,0.00728,-0.507,-0.00369,1077
retrofit,gwp,environmental_impact,0.05141,-0.669,-0.0344,1062
retrofit,wdp,environmental_impact,0.00685,-0.407,-0.00279,737
retrofit,fwu,environmental_impact,0.00756,-0.552,-0.00418,790
retrofit,circ_orig,circularity,0.01726,0.208,0.00359,1013
retrofit,fu_recyc,circularity,0.03043,0.37,0.01125,1019
retrofit,fu_incin,circularity,0.00655,-0.151,-0.00099,1072
retrofit,fu_inert,circularity,0.01358,-0.581,-0.00789,1012
retrofit,fu_haz,circularity,0.01614,-0.385,-0.00621,1075
retrofit,cost_product,cost,0.02755,-0.505,-0.01391,1077
retrofit,cost_labour,cost,0.02291,-0.385,-0.00882,1077
retrofit,cost_maintenance,cost,0.01929,-0.176,-0.0034,1077
retrofit,health,health_safety,0.08147,0.669,0.05453,1077
retrofit,u_value,performance,0.07943,-0.763,-0.06058,1077
retrofit,acoustic_reduction,performance,0.02259,0.099,0.00223,1077
retrofit,surface_mass,performance,0.02142,-0.628,-0.01345,1077
retrofit,heat_capacity,performance,0.01009,-0.194,-0.00196,1077
retrofit,fire_reaction,health_safety,0.0431,0.446,0.01924,1077
retrofit,thickness,performance,0.01819,-0.599,-0.0109,1077
