condition,indicator,family,importance,direction,signed,alternatives
balanced_optimizer,gwp,environmental_impact,0.05309,-0.68,-0.03608,1067
balanced_optimizer,wdp,environmental_impact,0.00496,-0.29,-0.00144,732
balanced_optimizer,fwu,environmental_impact,0.0059,-0.549,-0.00324,795
balanced_optimizer,circ_orig,circularity,0.01033,0.338,0.00349,1014
balanced_optimizer,fu_recyc,circularity,0.01944,0.691,0.01343,1032
balanced_optimizer,fu_incin,circularity,0.00595,-0.393,-0.00234,1078
balanced_optimizer,fu_inert,circularity,0.01624,-0.787,-0.01278,1026
balanced_optimizer,fu_haz,circularity,0.01485,-0.447,-0.00663,1076
balanced_optimizer,cost_product,cost,0.02809,-0.564,-0.01584,1080
balanced_optimizer,cost_labour,cost,0.02011,-0.486,-0.00978,1080
balanced_optimizer,cost_maintenance,cost,0.01729,-0.281,-0.00486,1080
balanced_optimizer,health,health_safety,0.079,0.795,0.06281,1080
balanced_optimizer,u_value,performance,0.06774,-0.743,-0.0503,1080
balanced_optimizer,acoustic_reduction,performance,0.03503,0.539,0.01887,1080
balanced_optimizer,surface_mass,performance,0.00989,-0.034,-0.00034,1080
balanced_optimizer,heat_capacity,performance,0.0153,0.151,0.00231,1080
balanced_optimizer,fire_reaction,health_safety,0.0597,0.565,0.03371,1080
balanced_optimizer,thickness,performance,0.00768,-0.084,-0.00065,1080
circular_economy_advocate,gwp,environmental_impact,0.04408,-0.702,-0.03094,1067
circular_economy_advocate,wdp,environmental_impact,0.00425,-0.203,-0.00086,732
circular_economy_advocate,fwu,environmental_impact,0.00546,-0.556,-0.00304,795
circular_economy_advocate,circ_orig,circularity,0.02179,0.411,0.00895,1014
circular_economy_advocate,fu_recyc,circularity,0.06611,0.688,0.04547,1032
circular_economy_advocate,fu_incin,circularity,0.006,-0.221,-0.00132,1078
circular_economy_advocate,fu_inert,circularity,0.04001,-0.791,-0.03164,1026
circular_economy_advocate,fu_haz,circularity,0.01689,-0.289,-0.00489,1076
circular_economy_advocate,cost_product,cost,0.0101,-0.493,-0.00498,1080
circular_economy_advocate,cost_labour,cost,0.0076,-0.389,-0.00296,1080
circular_economy_advocate,cost_maintenance,cost,0.00701,-0.281,-0.00197,1080
circular_economy_advocate,health,health_safety,0.06785,0.636,0.04314,1080
circular_economy_advocate,u_value,performance,0.03878,-0.726,-0.02814,1080
