group,condition,family,share
By context,acoustic_insulation,environmental_impact,0.1686
By context,acoustic_insulation,circularity,0.1898
By context,acoustic_insulation,cost,0.1963
By context,acoustic_insulation,performance,0.4453
By context,high_rise,environmental_impact,0.2322
By context,high_rise,circularity,0.246
By context,high_rise,cost,0.2451
By context,high_rise,performance,0.2767
By context,hot_summer,environmental_impact,0.1815
By context,hot_summer,circularity,0.2093
By context,hot_summer,cost,0.234
By context,hot_summer,performance,0.3751
By context,new_build_mild,environmental_impact,0.2317
By context,new_build_mild,circularity,0.2347
By context,new_build_mild,cost,0.2629
By context,new_build_mild,performance,0.2707
By context,retrofit,environmental_impact,0.1839
By context,retrofit,circularity,0.2084
By context,retrofit,cost,0.1921
By context,retrofit,performance,0.4156
By context,thermal_insulation,environmental_impact,0.1758
By context,thermal_insulation,circularity,0.195
By context,thermal_insulation,cost,0.1742
By context,thermal_insulation,performance,0.455
By stakeholder,balanced_optimizer,environmental_impact,0.1927
By stakeholder,balanced_optimizer,circularity,0.2013
By stakeholder,balanced_optimizer,cost,0.1973
By stakeholder,balanced_optimizer,performance,0.4087
By stakeholder,circular_economy_advocate,environmental_impact,0.1692
By stakeholder,circular_economy_advocate,circularity,0.4745
By stakeholder,circular_economy_advocate,cost,0.0778
By stakeholder,circular_economy_advocate,performance,0.2786
By stakeholder,cost_conscious_developer,environmental_impact,0.0795
By stakeholder,cost_conscious_developer,circularity,0.0918
By stakeholder,cost_conscious_developer,cost,0.5214
By stakeholder,cost_conscious_developer,performance,0.3074
By stakeholder,health_safety_focused,environmental_impact,0.1604
By stakeholder,health_safety_focused,circularity,0.1854
By stakeholder,health_safety_focused,cost,0.127
By stakeholder,health_safety_focused,performance,0.5273
By stakeholder,occupant_comfort_focused,environmental_impact,0.0967
By stakeholder,occupant_comfort_focused,circularity,0.1564
By stakeholder,occupant_comfort_focused,cost,0.0874
By stakeholder,occupant_comfort_focused,performance,0.6595
By stakeholder,pragmatic_contractor,environmental_impact,0.1075
By stakeholder,pragmatic_contractor,circularity,0.1223
By stakeholder,pragmatic_contractor,cost,0.3473
By stakeholder,pragmatic_contractor,performance,0.4229
By stakeholder,regulatory_aligned_builder,environmental_impact,0.2791
By stakeholder,regulatory_aligned_builder,circularity,0.1491
By stakeholder,regulatory_aligned_builder,cost,0.0978
By stakeholder,regulatory_aligned_builder,performance,0.474
By stakeholder,sustainability_maximalist,environmental_impact,0.3561
By stakeholder,sustainability_maximalist,circularity,0.2614
By stakeholder,sustainability_maximalist,cost,0.0701
By stakeholder,sustainability_maximalist,performance,0.3123
