indicator,withholding,shap
gwp,0.11541,0.10402
u_value,-0.01277,-0.06386
fire_reaction,0.06363,0.02765
health,0.06131,-0.02179
cost_product,0.0121,0.01407
fu_inert,0.01887,0.01052
wdp,-0.00889,-0.00881
cost_labour,-0.00377,-0.00872
fu_recyc,0.01684,0.00671
thickness,0.00835,0.00521
fwu,0.0104,0.0
circ_orig,0.02514,0.0
fu_incin,0.00523,0.0
fu_haz,0.00269,0.0
cost_maintenance,0.00918,0.0
acoustic_reduction,0.01736,0.0
surface_mass,-0.0094,0.0
heat_capacity,-6e-05,0.0
u_value,0.08668,0.13081
health,0.02897,-0.04999
fire_reaction,0.26602,0.04935
gwp,0.05722,0.03104
surface_mass,-0.03033,-0.01443
fu_recyc,0.01066,0.00829
cost_labour,0.00509,0.00787
fu_inert,0.00202,0.0056
circ_orig,0.01795,0.00505
thickness,-0.00261,0.00498
wdp,-7e-05,0.0
fwu,0.00484,0.0
fu_incin,0.00687,0.0
fu_haz,0.00793,0.0
cost_product,0.00574,0.0
cost_maintenance,0.00449,0.0
acoustic_reduction,0.01405,0.0
heat_capacity,0.00197,0.0
u_value,-0.22077,-0.13979
gwp,0.14515,0.04793
health,0.05986,0.02947
wdp,-0.00169,-0.01853
fu_recyc,-0.00568,0.01533
fu_inert,-0.02756,0.01143
fire_reaction,0.04092,0.00907
cost_maintenance,0.00924,0.00496
acoustic_reduction,0.00549,0.00414
circ_orig,-0.03611,0.0
fu_incin,0.0034,0.0
fu_haz,-0.01342,0.0
cost_product,0.00717,0.0
cost_labour,0.00955,0.0
surface_mass,0.00342,0.0
heat_capacity,0.00778,0.0
thickness,-0.00317,0.0
u_value,0.13991,0.11119
surface_mass,-0.04688,-0.04033
gwp,-0.08909,-0.0331
thickness,-0.03417,-0.02539
fwu,-0.0185,-0.02437
cost_labour,0.00695,0.02277
fu_recyc,0.0012,0.01207
fu_inert,-0.01806,0.01207
cost_maintenance,-0.02169,0.00882
acoustic_reduction,-8e-05,0.00798
wdp,0.00157,0.0
circ_orig,0.00021,0.0
fu_incin,0.00805,0.0
fu_haz,-0.00704,0.0
cost_product,-0.02794,0.0
health,0.01315,0.0
heat_capacity,-0.01318,0.0
fire_reaction,-0.00753,0.0
heat_capacity,-0.04129,-0.14549
fire_reaction,0.20425,0.06519
gwp,0.06302,0.06119
health,0.02738,-0.04141
u_value,-0.02405,-0.03885
acoustic_reduction,0.00966,-0.02354
cost_labour,0.02673,0.01419
surface_mass,0.00623,0.01278
fu_haz,-0.00084,0.00947
thickness,-0.00041,-0.00691
wdp,0.01163,0.0
fwu,0.00559,0.0
circ_orig,-0.00204,0.0
fu_recyc,0.00494,0.0
fu_incin,0.00374,0.0
fu_inert,0.00807,0.0
cost_product,0.02176,0.0
cost_maintenance,0.0196,0.0
fu_inert,0.09205,0.10397
gwp,0.02488,0.06507
circ_orig,0.0044,0.04359
acoustic_reduction,-0.01344,-0.0373
fu_recyc,0.03239,0.03018
fire_reaction,0.00028,-0.02047
fu_incin,-0.01359,-0.01853
fu_haz,0.04502,0.01371
health,0.05728,0.0095
fwu,-0.00682,-0.00946
wdp,-0.00186,0.0
cost_product,-0.01176,0.0
cost_labour,-0.00481,0.0
cost_maintenance,0.0024,0.0
u_value,-0.00249,0.0
surface_mass,0.00185,0.0
heat_capacity,-0.00117,0.0
thickness,-0.01168,0.0
health,-0.32482,-0.51193
fire_reaction,-0.0111,-0.07405
gwp,0.00165,0.02645
acoustic_reduction,0.00065,-0.01057
thickness,0.00118,-0.00763
cost_labour,0.00147,0.00703
circ_orig,0.00112,0.00429
wdp,0.00152,0.00328
u_value,0.00396,0.00248
fu_incin,4e-05,0.00169
fwu,0.00148,0.0
fu_recyc,0.00135,0.0
fu_inert,0.00044,0.0
fu_haz,0.00824,0.0
cost_product,0.00176,0.0
cost_maintenance,0.0018,0.0
surface_mass,0.0015,0.0
heat_capacity,-0.00265,0.0
acoustic_reduction,0.35409,0.139
cost_product,-0.07181,-0.11733
cost_labour,-0.02807,-0.03823
cost_maintenance,0.01142,0.02754
health,0.10255,0.01503
fu_inert,0.01998,0.01275
fire_reaction,0.06962,0.01175
gwp,-0.0033,-0.00802
wdp,-0.00173,-0.00677
fu_haz,-0.00145,0.005
fwu,-0.001,0.0
circ_orig,-0.00059,0.0
fu_recyc,0.02445,0.0
fu_incin,0.0107,0.0
u_value,-0.0068,0.0
surface_mass,0.01334,0.0
heat_capacity,0.01411,0.0
thickness,0.00122,0.0
fu_recyc,0.10651,0.05474
fu_inert,0.01582,0.03808
circ_orig,0.06354,0.01869
fire_reaction,0.05589,0.01749
cost_labour,0.01764,0.01594
gwp,0.11372,0.01377
u_value,0.03038,0.01296
cost_maintenance,-0.00345,0.00429
fu_incin,0.01204,0.0018
fu_haz,0.01736,0.00146
fwu,-0.00166,0.0
cost_product,-0.01735,0.0
health,0.04335,0.0
acoustic_reduction,0.06729,0.0
surface_mass,0.00353,0.0
heat_capacity,0.00658,0.0
thickness,0.00259,0.0
health,-0.12519,-0.13339
fire_reaction,0.11539,0.06318
acoustic_reduction,0.04948,0.05331
gwp,0.02096,0.02058
fwu,-0.00971,-0.0147
cost_labour,-0.00605,-0.0114
cost_product,0.00882,0.00793
heat_capacity,0.02235,0.00765
fu_haz,-0.0023,0.00385
thickness,0.00921,0.00189
wdp,0.01299,0.0
circ_orig,0.00163,0.0
fu_recyc,-0.0053,0.0
fu_incin,0.00081,0.0
fu_inert,-0.00545,0.0
cost_maintenance,0.00565,0.0
u_value,0.01128,0.0
surface_mass,0.01001,0.0
fire_reaction,-0.06571,-0.08491
surface_mass,-0.0038,0.06256
fu_haz,-0.04427,-0.04737
thickness,-0.01148,0.03346
acoustic_reduction,-0.03082,-0.02942
health,0.10013,0.02625
heat_capacity,-0.00103,0.02452
gwp,0.00596,0.01757
u_value,0.02729,0.00994
fu_inert,0.00159,0.00223
wdp,-0.0036,0.0
fwu,-0.00704,0.0
circ_orig,0.00311,0.0
fu_recyc,0.00962,0.0
fu_incin,-0.01027,0.0
cost_product,-0.00554,0.0
cost_labour,-0.00819,0.0
cost_maintenance,-0.00622,0.0
gwp,0.16217,0.19647
heat_capacity,-0.00703,-0.1285
fu_recyc,-0.05818,-0.05428
fu_inert,-0.06238,-0.05041
acoustic_reduction,-0.00138,-0.02231
cost_labour,0.00695,0.01261
fu_haz,0.07891,0.00896
cost_product,0.0085,0.00684
wdp,0.01142,0.00256
fu_incin,0.00915,0.0019
fwu,0.0048,0.0
circ_orig,-0.01876,0.0
cost_maintenance,0.00769,0.0
health,0.07062,0.0
u_value,-0.00192,0.0
surface_mass,-0.00507,0.0
fire_reaction,0.02531,0.0
thickness,-0.00662,0.0
health,-0.01855,-0.06617
cost_product,-0.03566,-0.03981
heat_capacity,0.056,0.02573
fu_recyc,0.04614,0.02379
cost_labour,-0.01916,-0.01808
wdp,-0.00186,-0.01752
gwp,0.14355,0.01435
fire_reaction,0.11744,0.01336
fu_inert,0.0163,0.01329
cost_maintenance,0.00499,0.01072
fwu,0.01318,0.0
circ_orig,0.01276,0.0
fu_incin,0.01254,0.0
fu_haz,0.01385,0.0
u_value,-0.01622,0.0
acoustic_reduction,0.02455,0.0
surface_mass,0.01564,0.0
thickness,0.01241,0.0
health,-0.48741,-0.59787
heat_capacity,0.00201,-0.0675
cost_labour,0.00903,0.02349
cost_product,0.01043,0.02107
gwp,0.00312,0.01994
acoustic_reduction,0.00017,-0.01754
fire_reaction,-0.0011,-0.01731
u_value,0.0071,0.00795
fu_haz,0.0009,0.00549
circ_orig,0.00128,0.00522
wdp,0.00208,0.0
fwu,-2e-05,0.0
fu_recyc,0.00181,0.0
fu_incin,0.00186,0.0
fu_inert,0.00207,0.0
cost_maintenance,0.00921,0.0
surface_mass,0.00171,0.0
thickness,0.00308,0.0
fire_reaction,0.26641,0.06425
health,0.10868,0.03381
cost_product,-0.01086,-0.01771
fu_recyc,0.05733,0.01193
surface_mass,0.00205,0.00924
u_value,0.02518,0.0056
circ_orig,0.00582,0.00522
fu_haz,0.01791,0.00319
fu_inert,0.0264,0.00267
heat_capacity,0.015,0.00241
gwp,-0.00149,0.0
wdp,-0.00045,0.0
fwu,0.00019,0.0
fu_incin,0.0122,0.0
cost_labour,-0.0102,0.0
cost_maintenance,0.00262,0.0
acoustic_reduction,0.02133,0.0
thickness,-0.00144,0.0
u_value,0.03539,0.14205
gwp,0.06067,0.07243
fu_inert,0.01298,0.0312
fu_recyc,0.02194,0.01979
circ_orig,0.02363,0.01076
fire_reaction,0.03221,0.00815
health,0.05467,0.00605
fu_haz,-0.00017,0.00545
acoustic_reduction,0.01473,0.00295
thickness,0.00303,0.00068
wdp,0.00557,0.0
fwu,0.00476,0.0
fu_incin,0.00148,0.0
cost_product,-0.01065,0.0
cost_labour,-0.00267,0.0
cost_maintenance,-0.0046,0.0
surface_mass,0.00355,0.0
heat_capacity,0.00225,0.0
u_value,-0.06136,-0.13637
fire_reaction,-0.00322,-0.05694
health,0.11433,0.02753
cost_product,-0.02118,-0.02539
cost_labour,-0.01529,-0.01017
circ_orig,0.00613,-0.00804
fwu,-0.01223,-0.00544
heat_capacity,-0.01168,-0.0054
wdp,-0.01091,-0.00469
surface_mass,-0.01652,-0.00352
gwp,0.0374,0.0
fu_recyc,0.00349,0.0
fu_incin,0.00089,0.0
fu_inert,0.00153,0.0
fu_haz,-0.00473,0.0
cost_maintenance,-0.01523,0.0
acoustic_reduction,0.01576,0.0
thickness,0.00283,0.0
gwp,-0.10828,-0.0975
cost_labour,0.02758,-0.08045
cost_product,0.09807,0.03505
u_value,-0.02039,-0.03313
cost_maintenance,0.09564,0.0322
acoustic_reduction,0.03144,0.01399
health,0.07106,0.01185
fu_haz,0.01901,0.00864
heat_capacity,0.01127,0.00736
fu_recyc,0.00141,0.00335
wdp,0.00152,0.0
fwu,-0.00423,0.0
circ_orig,-0.02382,0.0
fu_incin,-0.0053,0.0
fu_inert,0.00301,0.0
surface_mass,-0.00516,0.0
fire_reaction,0.02775,0.0
thickness,-0.02164,0.0
heat_capacity,-0.0739,-0.15377
gwp,0.10192,0.1228
cost_labour,0.04837,0.06756
fu_inert,-0.06439,-0.05238
fu_recyc,-0.03655,-0.04854
fu_haz,0.0237,0.04141
u_value,0.04595,0.03987
health,0.00659,-0.03409
circ_orig,0.01114,0.02329
acoustic_reduction,-0.00279,-0.02219
wdp,0.01266,0.0
fwu,0.03594,0.0
fu_incin,0.008,0.0
cost_product,0.02566,0.0
cost_maintenance,0.0363,0.0
surface_mass,0.00141,0.0
fire_reaction,0.04872,0.0
thickness,0.00108,0.0
acoustic_reduction,0.02957,-0.04354
gwp,-0.04509,-0.0423
cost_labour,0.03346,-0.01989
u_value,-0.00288,-0.01898
health,-0.00544,-0.01675
cost_maintenance,0.01454,0.00817
cost_product,0.0406,-0.00636
fu_haz,0.00741,0.00562
fire_reaction,0.0217,0.00441
fu_recyc,0.00179,0.00263
wdp,0.00377,0.0
fwu,-0.00101,0.0
circ_orig,-0.00832,0.0
fu_incin,0.00258,0.0
fu_inert,-0.00206,0.0
surface_mass,0.00301,0.0
heat_capacity,0.00893,0.0
thickness,0.00045,0.0
gwp,-0.12071,-0.23232
health,0.02061,-0.03322
u_value,0.02007,0.02802
fwu,-0.00285,-0.02747
fu_inert,0.01172,0.01521
fu_recyc,0.02199,0.01244
cost_product,-0.00795,-0.01016
wdp,0.0043,-0.00858
fire_reaction,0.0274,0.0067
acoustic_reduction,0.02399,0.00585
circ_orig,-0.00504,0.0
fu_incin,0.00635,0.0
fu_haz,0.01344,0.0
cost_labour,-0.00198,0.0
cost_maintenance,0.00132,0.0
surface_mass,0.01389,0.0
heat_capacity,0.00665,0.0
thickness,0.002,0.0
fwu,-0.00718,-0.03749
u_value,-0.10038,0.03652
gwp,0.1097,0.02389
fu_recyc,0.03295,0.01938
cost_labour,0.02019,0.01504
fu_inert,0.01099,0.01213
cost_maintenance,0.01936,0.01207
fu_haz,0.0144,0.00749
acoustic_reduction,0.02703,0.00438
circ_orig,-0.02216,0.0
fu_incin,0.00697,0.0
cost_product,0.01298,0.0
health,0.07988,0.0
surface_mass,0.02065,0.0
heat_capacity,0.01642,0.0
fire_reaction,0.05618,0.0
thickness,0.01473,0.0
u_value,-0.14373,-0.17872
gwp,-0.07234,-0.09951
cost_product,0.02954,0.03363
health,0.04553,0.01263
fire_reaction,0.01915,0.0109
cost_labour,0.02025,0.00673
fu_haz,0.00577,0.00655
fu_incin,-0.0034,-0.00562
acoustic_reduction,0.01205,0.00505
circ_orig,-0.00674,-0.00437
wdp,-0.00189,0.0
fwu,-0.00559,0.0
fu_recyc,0.00075,0.0
fu_inert,-0.00945,0.0
cost_maintenance,0.01335,0.0
surface_mass,-0.00185,0.0
heat_capacity,-0.00303,0.0
thickness,-0.01035,0.0
health,-0.65107,-0.63191
u_value,0.00121,0.03244
gwp,-0.00072,0.02492
cost_product,0.00114,0.01253
fire_reaction,0.00064,0.00978
fu_recyc,0.00031,-0.00754
fu_haz,0.00045,0.0063
fu_inert,-0.00067,-0.00623
heat_capacity,0.00076,0.00492
cost_maintenance,0.00096,0.00268
wdp,0.00061,0.0
fwu,2e-05,0.0
circ_orig,0.00049,0.0
fu_incin,0.00037,0.0
cost_labour,0.00233,0.0
acoustic_reduction,0.0004,0.0
surface_mass,0.00053,0.0
thickness,9e-05,0.0
u_value,-0.15225,-0.14926
gwp,0.06433,0.05352
wdp,-0.00681,-0.01384
health,0.04163,0.00552
fu_haz,0.00671,0.00484
fu_recyc,0.02803,0.00459
cost_maintenance,-0.00563,0.00324
fire_reaction,0.01689,0.00313
acoustic_reduction,0.01242,0.00304
fu_incin,0.00299,0.0019
fwu,0.00548,0.0
circ_orig,-0.00881,0.0
fu_inert,0.00731,0.0
cost_product,-0.01945,0.0
cost_labour,-0.00207,0.0
surface_mass,0.00412,0.0
heat_capacity,-0.00306,0.0
thickness,-0.00268,0.0
u_value,0.13233,0.09196
cost_labour,-0.10711,-0.0688
cost_product,-0.11833,-0.05305
gwp,-0.07006,-0.04914
thickness,-0.06021,-0.02954
surface_mass,0.00152,0.01435
circ_orig,-0.00762,-0.00704
fu_haz,0.0006,0.00498
fu_recyc,0.00777,0.00461
fire_reaction,0.00675,0.00378
wdp,-0.00819,0.0
fwu,-0.00259,0.0
fu_incin,-0.00697,0.0
fu_inert,-0.00482,0.0
cost_maintenance,-0.04861,0.0
health,0.01367,0.0
acoustic_reduction,-0.00099,0.0
heat_capacity,-0.00837,0.0
acoustic_reduction,0.26249,0.12822
cost_labour,0.06562,0.06921
health,0.02115,-0.04135
gwp,0.00285,-0.02748
u_value,0.03313,0.02443
cost_maintenance,0.08801,0.02287
fire_reaction,0.0615,0.02034
cost_product,0.1576,0.01536
thickness,0.00973,-0.01134
fu_inert,0.00643,0.00313
wdp,-0.00173,0.0
fwu,0.00835,0.0
circ_orig,0.02032,0.0
fu_recyc,0.00785,0.0
fu_incin,0.00575,0.0
fu_haz,0.00167,0.0
surface_mass,0.02262,0.0
heat_capacity,0.02462,0.0
cost_product,-0.1425,-0.17517
u_value,0.20671,0.10068
